label,start_range_m,hit,hit_t_s,min_range_m,final_range_m,frames,detected_frames,valid_frames,detected_ratio,valid_ratio,max_load_factor_fd_g,command_load_p95_g,truth_or_guidance_p95_g,los_error_p95_deg,ttc_p50_s,ttc_valid_ratio,avg_sim_sample_fps
L0,90.0,True,13.104279518127441,1.2482444775830088,1.2482444775830088,262,249,249,0.950381679389313,0.950381679389313,1.5547481079057732,1.1728127795102246,0.3914620885115193,7.409846609735816,4.522,0.767175572519084,19.931398114616993
M,90.0,True,13.05327844619751,1.3919895309595527,1.3919895309595527,261,255,255,0.9770114942528736,0.9770114942528736,1.3386038031923997,3.0890554079731847,0.5745832522447712,7.499047019133772,nan,0.0,19.93264414188982
M0,90.0,True,12.60326886177063,1.3779587796296613,1.3779587796296613,252,242,242,0.9603174603174603,0.9603174603174603,1.5333849541522648,1.3735792644343094,0.40068816429909637,7.424500048133838,nan,0.0,19.92965849711277
N,90.0,False,nan,1.415511957258814,3.413417037231062,697,690,690,0.9899569583931134,0.9899569583931134,1.0052016614650836,16.136525838813796,4.11952121107325,7.65202232592194,nan,0.0,19.920330701679738
N0,90.0,True,16.27234721183777,1.3840598920591252,1.3840598920591252,325,321,321,0.9876923076923076,0.9876923076923076,1.0695894759373088,10.208899012579662,1.3255773906058232,7.445228586310076,nan,0.0,19.92513771305758
P,90.0,True,28.656611442565918,1.38399832670311,1.38399832670311,571,565,565,0.989492119089317,0.989492119089317,0.9628266545911358,16.466909565817133,3.4132777993789865,7.747550683591304,nan,0.0,19.915681345944762
P0,90.0,True,14.46030855178833,1.3324127962861159,1.3324127962861159,289,281,281,0.972318339100346,0.972318339100346,1.282492324854466,9.53210331862987,1.3568896338520764,7.1932016704576665,nan,0.0,19.930811195867054
J,100.0,True,13.908296585083008,1.283592320960614,1.283592320960614,278,267,267,0.960431654676259,0.960431654676259,1.6306265243964193,0.8351962168224726,0.3863984243059731,7.146751986890862,4.196,0.7661870503597122,19.930381273071504
J0,100.0,True,13.998298645019531,1.280563062081879,1.280563062081879,279,265,265,0.9498207885304659,0.9498207885304659,1.6495653391719773,0.4352052875922695,0.37778434897590596,7.361804602873691,5.203,0.8064516129032258,19.895626396199113
K,100.0,True,15.399328708648682,1.3067144365633538,1.3067144365633538,307,295,295,0.9609120521172638,0.9609120521172638,1.5381985859980782,10.405325606983693,0.3758422366970191,8.308894987818794,3.956,0.749185667752443,19.902634414834168
K0,100.0,True,14.211302995681763,1.2888231381309931,1.3108128606063405,284,269,269,0.9471830985915493,0.9471830985915493,1.3602208795838764,1.450913689648521,0.39528250405560067,7.434847417395878,5.009,0.7887323943661971,19.927864428074507
L,100.0,True,15.618333101272583,1.2690159830621672,1.2690159830621672,312,302,300,0.967948717948718,0.9615384615384616,1.17124879630241,10.391870463710466,0.31122153015689835,7.044915461636384,4.131,0.75,19.926597251493206
L0,100.0,True,14.54731035232544,1.2485686891816947,1.2485686891816947,290,276,276,0.9517241379310345,0.9517241379310345,1.6094596900216096,1.0148414488438717,0.33757729249606433,7.240231730304607,5.5075,0.7862068965517242,19.901618088542406
M,100.0,False,nan,1.149928450895482,136.95178282035133,697,285,279,0.40889526542324245,0.40028694404591103,1.3227180287637266,2.27885536238949,0.3407263446401839,152.76854525381478,nan,0.0,19.917980115709085
M0,100.0,True,13.494287729263306,1.3770626807899575,1.3770626807899575,269,257,257,0.9553903345724907,0.9553903345724907,1.473822875476989,0.6210579549267491,0.32514590354679734,7.440141138962516,nan,0.0,19.897235039851196
N,100.0,True,23.598503351211548,1.3625899980897547,1.3625899980897547,471,466,466,0.9893842887473461,0.9893842887473461,1.2488490722339287,16.295210610050653,3.402016434466465,8.241527293515471,nan,0.0,19.930738850160292
N0,100.0,True,17.17236614227295,1.3945732740849162,1.3945732740849162,343,334,334,0.9737609329446064,0.9737609329446064,1.1479345289419842,10.320496637351217,1.2528278727374789,7.448025988911512,nan,0.0,19.929915597578145
P,100.0,True,25.44354271888733,1.3153765992000712,1.3153765992000712,507,502,502,0.9901380670611439,0.9901380670611439,0.8828791070042825,16.254468900304673,3.3796370928476676,7.727279022707777,nan,0.0,19.913498538960138
P0,100.0,True,19.0354061126709,1.384018793803229,1.384018793803229,380,376,376,0.9894736842105263,0.9894736842105263,1.0011794853716032,9.222270674372222,1.2415180003548671,7.424584897686143,nan,0.0,19.924299419980972
J,110.0,True,15.264325618743896,1.2618308804074305,1.2618308804074305,305,294,294,0.9639344262295082,0.9639344262295082,1.3143228754106997,0.8232873649300986,0.34895001375241463,7.057899461918291,4.528,0.7573770491803279,19.929915400888397
J0,110.0,True,15.402328491210938,1.2668059759891235,1.2668059759891235,307,293,293,0.9543973941368078,0.9543973941368078,1.3347031550648616,0.44456502000211906,0.3299910636249422,7.340595045326248,5.727,0.8241042345276873,19.90129326701145
K,110.0,True,16.518352508544922,1.2235709862224347,1.2235709862224347,330,326,326,0.9878787878787879,0.9878787878787879,1.2700098680269543,11.366000311929223,0.31407859208136496,7.6174532652227755,4.0115,0.7151515151515152,19.93148358926543
K0,110.0,True,15.5043306350708,1.2740273084735938,1.2740273084735938,309,300,300,0.970873786407767,0.970873786407767,1.5188257732099761,1.1563336279766958,0.33257990196061765,7.318434512869922,5.811,0.8155339805825242,19.902119790714963
L,110.0,True,17.709377765655518,1.2809218313594937,1.2809218313594937,353,348,348,0.9858356940509915,0.9858356940509915,0.9739601253442552,10.42095755613822,0.3387464083437174,7.439270723447789,3.7495,0.7025495750708215,19.90814854338724
L0,110.0,True,16.30534791946411,1.260081966366383,1.260081966366383,325,315,314,0.9692307692307692,0.9661538461538461,1.5983415405520138,1.0111754604356715,0.2821174337138771,7.482148666531034,6.0945,0.8123076923076923,19.901363155133748
M,110.0,True,16.00534152984619,0.8158185098235223,0.8158185098235223,319,310,310,0.9717868338557993,0.9717868338557993,1.2416336843729605,2.8735915748950753,0.5937130643285985,7.536739915262158,nan,0.0,19.90441344743846
M0,110.0,True,15.063321352005005,1.3681314115709111,1.3681314115709111,301,291,291,0.9667774086378738,0.9667774086378738,1.48166647972493,0.7603232265962422,0.2978579124920049,7.464130517975194,nan,0.0,19.930130371989353
N,110.0,True,28.155600547790527,1.3840364996816499,1.3840364996816499,561,558,558,0.9946524064171123,0.9946524064171123,0.9879583829322425,16.31996480094185,3.2412168913556973,7.769512013499635,nan,0.0,19.914620918687472
N0,110.0,True,19.233410358428955,1.3812699888562259,1.3812699888562259,384,380,380,0.9895833333333334,0.9895833333333334,1.144014250519646,8.813160236484526,0.8580027992018576,7.50723308592951,nan,0.0,19.927389255373992
P,110.0,True,25.10753560066223,1.3388626026950483,1.3388626026950483,501,497,497,0.9920159680638723,0.9920159680638723,0.9833903801692665,16.284637506693134,3.4061690543763703,8.096135322821135,nan,0.0,19.928496443751303
P0,110.0,True,22.14347243309021,1.3768187621773873,1.3768187621773873,442,440,440,0.995475113122172,0.995475113122172,0.9698598254250566,10.163001136992495,1.5009320667380528,7.4483544807732,nan,0.0,19.929769112571204
J,120.0,True,16.719356536865234,1.2781179702039445,1.2781179702039445,334,322,321,0.9640718562874252,0.9610778443113772,1.1721188989635256,0.7192958371404385,0.3170901803446109,6.998837951101644,4.498,0.7335329341317365,19.931271324279752
J0,120.0,True,16.719356536865234,1.2698324132607013,1.2698324132607013,334,325,325,0.9730538922155688,0.9730538922155688,1.5266774378605659,0.33915877063757305,0.29946934341865994,7.285090497835278,6.21,0.8473053892215568,19.931271359764292
K,120.0,True,19.02940607070923,1.4024744356863457,1.4024744356863457,380,379,379,0.9973684210526316,0.9973684210526316,1.205129527406073,9.999633938697896,0.352459244607118,8.379933696843684,4.093,0.7210526315789474,19.930766123254642
K0,120.0,True,17.17236614227295,1.2711371753578395,1.2711371753578395,343,338,337,0.9854227405247813,0.9825072886297376,1.2427662700682442,1.237381762699428,0.2854841167012103,7.490992302197698,6.322,0.8513119533527697,19.92991566667962
L,120.0,True,19.683419942855835,1.3948758026937695,1.3948758026937695,393,390,390,0.9923664122137404,0.9923664122137404,1.64843682192786,10.780035572160271,0.425253716499015,7.626676673648145,3.97,0.7251908396946565,19.92942181077143
L0,120.0,True,17.57437491416931,1.2385416090448733,1.2385416090448733,351,339,337,0.9658119658119658,0.9601139601139601,1.279189808574407,1.3157954152592044,0.2687129087126481,7.520581836738903,6.8905,0.8148148148148148,19.929546843070554
M,120.0,False,nan,1.1576257677051502,103.02461627749727,697,385,378,0.5523672883787661,0.5423242467718795,1.7770926904290054,2.719690233854164,1.868169026808195,162.8866650260893,nan,0.0,19.918569935237286
M0,120.0,True,16.10434365272522,1.3558266834278714,1.3558266834278714,321,310,310,0.9657320872274143,0.9657320872274143,1.4597626345783652,0.6843577834408503,0.2855360808871802,7.388287126898076,nan,0.0,19.903754510808074
N,120.0,True,34.52773666381836,1.3288911035149418,1.3288911035149418,688,682,682,0.9912790697674418,0.9912790697674418,0.9436040586116187,16.66734344298981,3.435220488910571,8.045700630763589,nan,0.0,19.9202647086222
N0,120.0,True,19.28141140937805,1.41675001850037,1.41675001850037,385,382,382,0.9922077922077922,0.9922077922077922,0.940200893728935,8.537459703035749,0.9574261715321423,7.493287781448213,nan,0.0,19.92974738921749
P,120.0,True,34.54573702812195,0.20105845994969532,0.20105845994969532,689,671,671,0.9738751814223512,0.9738751814223512,0.9812724301183067,16.824856908192736,3.9413189246718066,8.143065174050625,nan,0.0,19.92982162693254
P0,120.0,False,nan,42.55557387265664,46.565156683323934,697,688,688,0.9870875179340028,0.9870875179340028,0.9396812511087086,10.978504642932574,4.320008250616352,7.2703862961080485,nan,0.0,19.926115987814722
J,130.0,True,18.057385206222534,1.263657211458342,1.263657211458342,360,349,349,0.9694444444444444,0.9694444444444444,1.4645521093413807,0.5732694909938482,0.2930628796939154,7.037242924029668,4.676,0.7305555555555555,19.912525434978672
J0,130.0,True,18.078385829925537,1.2664269647620903,1.2664269647620903,361,352,352,0.9750692520775623,0.9750692520775623,1.4891490915085586,0.2994508266478328,0.26385170937045443,7.2224795479094945,6.657,0.8559556786703602,19.927407026781612
K,130.0,True,19.46741533279419,1.3342423160193513,1.3342423160193513,388,385,385,0.9922680412371134,0.9922680412371134,1.2684996893273202,10.392319876220776,0.3573521610139466,7.581796703652026,4.262,0.7242268041237113,19.909450410502483
K0,130.0,True,18.36639165878296,1.2857790745534263,1.2857790745534263,366,353,352,0.9644808743169399,0.9617486338797814,1.363751921165353,0.8714577758888405,0.25328801713384497,7.346255064165311,7.122999999999999,0.8579234972677595,19.904152797591514
L,130.0,True,20.56843876838684,1.2559537686401687,1.2559537686401687,410,403,403,0.9829268292682927,0.9829268292682927,1.0734124727675398,10.238446334356661,0.24587017225630414,7.512339315744304,4.802,0.7219512195121951,19.912185757904812
L0,130.0,True,19.569417476654053,1.2321343920958523,1.2321343920958523,390,385,385,0.9871794871794872,0.9871794871794872,1.048420549217608,1.5554259973414224,0.22607551397857234,7.374937431978182,7.63,0.8179487179487179,19.907897611598525
M,130.0,True,18.525395393371582,1.3752581753150925,1.3752581753150925,370,360,360,0.972972972972973,0.972972972972973,1.4570136542306922,2.9161802175916396,0.8880917520819963,7.294239343535799,nan,0.0,19.93288670343813
M0,130.0,True,17.913382053375244,1.38054039619076,1.3908876747316343,357,339,339,0.9495798319327731,0.9495798319327731,1.47226411686257,1.6343622921461984,0.2699263515753352,7.275444774765033,nan,0.0,19.904769728043235
N,130.0,True,30.966660499572754,1.350524626956094,1.350524626956094,617,607,607,0.9837925445705025,0.9837925445705025,1.103597607203277,16.823018224350733,3.22262693767492,8.241181124098526,nan,0.0,19.91653486435396
N0,130.0,True,23.754506826400757,1.437355368957513,1.437355368957513,474,469,469,0.989451476793249,0.989451476793249,1.1615981777733597,7.965430233694649,1.1190714828259585,7.48976534875303,nan,0.0,19.926097282892034
P,130.0,True,31.116663932800293,1.243007009768451,1.243007009768451,620,613,613,0.9887096774193549,0.9887096774193549,1.153360703530166,16.48982344589017,3.25862535090212,7.563645794507679,nan,0.0,19.91701645091029
P0,130.0,True,27.80759310722351,1.1872565841172518,1.1872565841172518,554,551,551,0.9945848375451264,0.9945848375451264,1.1607348381987708,8.129707407143819,2.3850424817848404,7.526763841560743,nan,0.0,19.91186145098789
J,140.0,True,19.428414583206177,1.2904608333783447,1.2904608333783447,388,377,377,0.9716494845360825,0.9716494845360825,1.4444408753559064,0.5843276656719982,0.2506634471220026,7.010360663911895,4.4895,0.7061855670103093,19.93358180686029
J0,140.0,True,19.48541569709778,1.2803167066720376,1.2803167066720376,389,376,376,0.9665809768637532,0.9665809768637532,1.5167223159175933,0.30087886016318455,0.2309556180466718,7.238317434285703,7.384499999999999,0.8740359897172236,19.92642454008826
K,140.0,True,21.126450538635254,1.2885357404749849,1.2885357404749849,421,418,418,0.9928741092636579,0.9928741092636579,1.0218166423522654,9.506406224227023,0.22527430744241805,7.571503032578635,4.352,0.7078384798099763,19.911067693596838
K0,140.0,True,19.920424938201904,1.2950802927025102,1.2950802927025102,397,385,385,0.9697732997481109,0.9697732997481109,1.7065317086123337,0.8252007777203154,0.23181439630925257,7.338186207172225,7.3125,0.8513853904282116,19.908775485482398
L,140.0,True,22.12547206878662,1.2526341253072604,1.2526341253072604,441,436,436,0.9886621315192744,0.9886621315192744,0.9923124467747114,10.58879342370976,0.20845873565569648,7.265691007770628,3.997,0.6938775510204082,19.914847195350266
L0,140.0,True,20.838444471359253,1.2349167953041214,1.2349167953041214,416,410,409,0.9855769230769231,0.9831730769230769,1.0445708845800004,0.9652976387007919,0.20770359727709586,7.317538224691822,7.58,0.8509615384615384,19.929293832381486
M,140.0,True,20.322433471679688,1.2199539781402668,1.3244523846082148,405,393,393,0.9703703703703703,0.9703703703703703,1.235731871281158,2.8240560608021226,0.5981178727035714,7.463449571115525,nan,0.0,19.908874804408935
M0,140.0,True,18.981405019760132,1.3923368665069042,1.3923368665069042,379,369,369,0.9736147757255936,0.9736147757255936,1.4454998927284715,0.6938938260831361,0.256091245369413,7.179143746267168,nan,0.0,19.928379617268895
N,140.0,True,31.785678148269653,1.3800766118720815,1.3800766118720815,634,629,629,0.9921135646687698,0.9921135646687698,0.9112928313319877,16.579493856606938,3.487079179240657,7.760344656252808,nan,0.0,19.928794509863366
N0,140.0,True,25.548544883728027,1.4183118449813659,1.4183118449813659,509,503,503,0.9882121807465619,0.9882121807465619,1.0712683516382029,8.40192934929907,1.133444343020499,7.516977105703312,nan,0.0,19.90988125311547
P,140.0,False,nan,21.280995274880656,21.280995274880656,697,695,695,0.9971305595408895,0.9971305595408895,0.9571915610479795,16.94866812731542,3.329312732735488,7.54737873293063,nan,0.0,19.917980127009738
P0,140.0,True,21.732463598251343,1.3931528231177313,1.3931528231177313,433,422,422,0.9745958429561201,0.9745958429561201,1.1498539417619944,7.944377914008905,0.8591144441970326,7.481017011401673,nan,0.0,19.906356737279346
